指标名称,重庆:重症,重庆:治愈,重庆:死亡,浙江:重症,浙江:治愈,浙江:死亡,云南:重症,云南:治愈,云南:死亡,新疆:重症,新疆:治愈,新疆:死亡,香港:重症,香港:治愈,香港:死亡,西藏:重症,西藏:治愈,西藏:死亡,天津:重症,天津:治愈,天津:死亡,台湾:重症,台湾:治愈,台湾:死亡,四川:重症,四川:治愈,四川:死亡,上海:重症,上海:治愈,上海:死亡,陕西:重症,陕西:治愈,陕西:死亡,山西:重症,山西:治愈,山西:死亡,山东:重症,山东:治愈,山东:死亡,青海:重症,青海:治愈,青海:死亡,宁夏:重症,宁夏:治愈,宁夏:死亡,内蒙古:重症,内蒙古:治愈,内蒙古:死亡,辽宁:重症,辽宁:治愈,辽宁:死亡,江西:重症,江西:治愈,江西:死亡,江苏:重症,江苏:治愈,江苏:死亡,吉林:重症,吉林:治愈,吉林:死亡,湖南:重症,湖南:治愈,湖南:死亡,湖北:重症,湖北:治愈,湖北:死亡,黑龙江:重症,黑龙江:治愈,黑龙江:死亡,河南:重症,河南:治愈,河南:死亡,河北:重症,河北:治愈,河北:死亡,海南:重症,海南:治愈,海南:死亡,贵州:重症,贵州:治愈,贵州:死亡,广西:重症,广西:治愈,广西:死亡,广东:重症,广东:治愈,广东:死亡,福建:重症,福建:治愈,福建:死亡,北京:重症,北京:治愈,北京:死亡,澳门:重症,澳门:治愈,澳门:死亡,安徽:重症,安徽:治愈,安徽:死亡,甘肃:重症,甘肃:治愈,甘肃:死亡
2020/1/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/1/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/1/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/1/19,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/1/20,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,51,25,6,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
2020/1/21,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,28,9,,,,,,,,,,,,,,,,,,,7,,,,0,0,,,,,,,,,,,,
2020/1/22,3,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,4,,,,,,,,,,,,71,28,17,,,,,,,,,1,,,,,,,,,,12,,,,0,0,,,,,,,,,,,,
2020/1/23,5,,,6,1,,,,,0,0,0,,,,,,,3,,,,,,2,,,,,0,,,,,,,,,,,,,1,,,,,,3,,0,4,,,,,,,,,6,,,106,31,24,,,1,3,,,,,1,,,,,,,,,,12,2,,,0,0,,,,,,,,,,,0,0
2020/1/24,8,1,,7,1,,,,,0,0,0,,,,,,,6,,,,,,2,,,,1,0,,,,,,,,,,,,,1,,,,,,9,,0,6,,,,1,,,,,15,,,100,32,39,,,1,5,,,,,1,,,,,,,,,,15,2,,,0,0,,,,,,,,,,,0,0
2020/1/25,9,1,,14,1,,1,,,0,0,0,,,,,,,7,0,0,,,,3,,,,1,1,,,,,,,,,,0,0,0,,,,,,,12,,0,6,,,,1,,,,,20,,,129,42,52,,,1,13,,1,,,1,,,,1,,,,,,,2,,,0,0,,,,,,,,,,1,0,0
2020/1/26,13,1,,18,1,,2,,,1,0,0,,,,,,,11,0,0,,,,3,,,,1,1,,,,,,,,,,0,0,0,,,,,,,12,,0,7,2,,1,1,,,,,22,,,221,44,76,3,,1,17,,1,,,1,1,,,1,,,3,,,20,2,,,0,0,,,,,,,,,,3,0,0
2020/1/27,13,1,,31,1,,,,,2,0,0,,,,,,,17,0,0,,,,2,,,,3,1,,,,2,,,,,,0,0,0,,,,,,,14,,0,11,3,,1,1,,,,,31,,,563,47,100,3,,1,30,,1,,,1,5,,1,1,,,5,,,23,4,,13,0,0,12,2,1,,,,,,,4,0,0
2020/1/28,15,1,,42,3,,5,,,4,0,0,,,,,,,17,0,0,,,,3,,,,4,1,,,,2,,,,1,,0,0,0,,,,1,,,6,,0,16,3,,1,1,,,,,38,,,671,80,125,4,,1,32,1,2,4,,1,9,,1,1,1,,5,2,,22,5,,12,0,0,,4,1,,,,,,,3,0,0
2020/1/29,18,1,,54,4,,6,,,3,0,0,,,,,,,13,0,0,,,,2,1,1,,5,1,,,,1,1,,10,2,,0,0,0,,,,2,,,8,,0,33,7,,1,1,,1,,,29,,,711,90,162,6,,1,37,2,2,8,,1,7,1,1,3,1,,5,2,,34,6,,8,0,0,14,4,1,,,,,2,,6,0,0
